ZIP,COUNTY,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,H_MALE,H_FEMALE,TOM_MALE,TOM_FEMALE,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,AGE_8,AGE_9,AGE_10,AGE_11,AGE_12,AGE_13,AGE_14,AGE_15,AGE_16,AGE_17,AGE_18,STATUS_CHARGED_OFF,STATUS_CURRENT,STATUS_DEFAULT,STATUS_FULLY_PAID,STATUS_IN_GRACE_PERIOD,STATUS_LATE_1,STATUS_LATE_2,ACCEPTED_COUNT,REJECT_COUNT
020,25005,0.435244588449,0.464577960099,0.0246887415315,0.0242487050355,0.00348257455475,0.00282341784429,0.0107710157838,0.0124198055937,0.000513675256658,0.000492122448686,0.0364278376068,0.0358315432529,0.0101890899686,0.0105483034348,0.0517123705933,0.0575855107656,0.0615584117017,0.0651918559123,0.0686726343997,0.0632000172422,0.0606136802856,0.0596509881962,0.0648308463788,0.0734483774328,0.078105580022,0.0738435122456,0.0615404510284,0.0520985250695,0.0381502661772,0.0254341094739,0.0196902861494,0.0246725769256,71,311,0,190,4,2,6,584,2743
021,25017,0.39169687958,0.411316610089,0.0274947496718,0.028400033057,0.00129389283842,0.00125225611129,0.0560001362657,0.0593329670142,0.00035328132107,0.000314798891454,0.0391145508375,0.0384742284431,0.0113050022742,0.011239392886,0.0558556694397,0.0551377513265,0.0570006794357,0.0646498508964,0.0690261232611,0.0764147497475,0.0754899097177,0.0666042536333,0.0649419388457,0.0700392836212,0.0746742083817,0.0694185178713,0.058104683564,0.0470570719666,0.0322312428121,0.0233657742318,0.0181725388121,0.0218157524356,186,1087,0,685,26,13,35,2032,11881
022,25017,0.39169687958,0.411316610089,0.0274947496718,0.028400033057,0.00129389283842,0.00125225611129,0.0560001362657,0.0593329670142,0.00035328132107,0.000314798891454,0.0391145508375,0.0384742284431,0.0113050022742,0.011239392886,0.0558556694397,0.0551377513265,0.0570006794357,0.0646498508964,0.0690261232611,0.0764147497475,0.0754899097177,0.0666042536333,0.0649419388457,0.0700392836212,0.0746742083817,0.0694185178713,0.058104683564,0.0470570719666,0.0322312428121,0.0233657742318,0.0181725388121,0.0218157524356,1,15,0,12,0,0,0,28,169
023,25001,0.441975804006,0.49077836824,0.0146174410847,0.0121446534131,0.00382582243518,0.00358320930515,0.00645724176865,0.00763764795902,0.000335925872357,0.000270606952732,0.0144914688825,0.0139175955173,0.00917264257021,0.0092006363929,0.038104258327,0.0419953996818,0.045900537948,0.0495537318098,0.0523577797166,0.0430031772989,0.0442255742233,0.0421260375211,0.0461384854409,0.060130731152,0.0768943653101,0.0867155314394,0.0876113337657,0.0894682573379,0.0693873551903,0.0483826568937,0.0370264961532,0.0409782907905,76,371,0,228,8,2,9,694,4381
024,25017,0.39169687958,0.411316610089,0.0274947496718,0.028400033057,0.00129389283842,0.00125225611129,0.0560001362657,0.0593329670142,0.00035328132107,0.000314798891454,0.0391145508375,0.0384742284431,0.0113050022742,0.011239392886,0.0558556694397,0.0551377513265,0.0570006794357,0.0646498508964,0.0690261232611,0.0764147497475,0.0754899097177,0.0666042536333,0.0649419388457,0.0700392836212,0.0746742083817,0.0694185178713,0.058104683564,0.0470570719666,0.0322312428121,0.0233657742318,0.0181725388121,0.0218157524356,33,224,0,144,4,4,5,414,1829
025,25001,0.441975804006,0.49077836824,0.0146174410847,0.0121446534131,0.00382582243518,0.00358320930515,0.00645724176865,0.00763764795902,0.000335925872357,0.000270606952732,0.0144914688825,0.0139175955173,0.00917264257021,0.0092006363929,0.038104258327,0.0419953996818,0.045900537948,0.0495537318098,0.0523577797166,0.0430031772989,0.0442255742233,0.0421260375211,0.0461384854409,0.060130731152,0.0768943653101,0.0867155314394,0.0876113337657,0.0894682573379,0.0693873551903,0.0483826568937,0.0370264961532,0.0409782907905,23,95,0,62,0,1,6,187,1070
026,25001,0.441975804006,0.49077836824,0.0146174410847,0.0121446534131,0.00382582243518,0.00358320930515,0.00645724176865,0.00763764795902,0.000335925872357,0.000270606952732,0.0144914688825,0.0139175955173,0.00917264257021,0.0092006363929,0.038104258327,0.0419953996818,0.045900537948,0.0495537318098,0.0523577797166,0.0430031772989,0.0442255742233,0.0421260375211,0.0461384854409,0.060130731152,0.0768943653101,0.0867155314394,0.0876113337657,0.0894682573379,0.0693873551903,0.0483826568937,0.0370264961532,0.0409782907905,17,110,0,77,2,1,1,208,1367
027,25005,0.435244588449,0.464577960099,0.0246887415315,0.0242487050355,0.00348257455475,0.00282341784429,0.0107710157838,0.0124198055937,0.000513675256658,0.000492122448686,0.0364278376068,0.0358315432529,0.0101890899686,0.0105483034348,0.0517123705933,0.0575855107656,0.0615584117017,0.0651918559123,0.0686726343997,0.0632000172422,0.0606136802856,0.0596509881962,0.0648308463788,0.0734483774328,0.078105580022,0.0738435122456,0.0615404510284,0.0520985250695,0.0381502661772,0.0254341094739,0.0196902861494,0.0246725769256,95,371,0,249,7,5,14,741,5324
028,44001,0.457603292315,0.492950859751,0.00625458397849,0.00541928123217,0.00105940836118,0.00110015483661,0.00867899926656,0.0101662456198,0.000346345041154,8.14929508598e-05,0.0135482030804,0.0138741748839,0.00806780213512,0.00827153451226,0.0392796023144,0.0521147420748,0.0618327764648,0.0775201695053,0.0730380572081,0.0495477141227,0.0466954608426,0.0490587564176,0.0579822345367,0.0692486349931,0.0820022818026,0.0812280987695,0.0690856490914,0.0588786569962,0.0414187922745,0.0308654551381,0.0256906527585,0.0345122646891,122,661,0,404,12,4,22,1225,7025
029,44001,0.457603292315,0.492950859751,0.00625458397849,0.00541928123217,0.00105940836118,0.00110015483661,0.00867899926656,0.0101662456198,0.000346345041154,8.14929508598e-05,0.0135482030804,0.0138741748839,0.00806780213512,0.00827153451226,0.0392796023144,0.0521147420748,0.0618327764648,0.0775201695053,0.0730380572081,0.0495477141227,0.0466954608426,0.0490587564176,0.0579822345367,0.0692486349931,0.0820022818026,0.0812280987695,0.0690856490914,0.0588786569962,0.0414187922745,0.0308654551381,0.0256906527585,0.0345122646891,71,337,0,187,9,3,12,619,4329
030,33011,0.451568562843,0.460317499348,0.0143823860647,0.011854587659,0.00163520033048,0.00152700662441,0.0193273302219,0.0199691156148,0.000336875857558,0.000349170596885,0.0318728822312,0.0305991472369,0.00946694928174,0.00926531555678,0.054143573048,0.0577287190357,0.062545797904,0.0641146066421,0.0649531078642,0.0648744215325,0.0627843158469,0.06006226056,0.0647686867743,0.074656116141,0.0838427453661,0.0788141969814,0.0628334948042,0.0505485912688,0.0335425078317,0.0227133014326,0.0171905045269,0.0198830524395,41,387,0,217,5,1,12,663,3233
